Series,Model,MAE,RMSE,MAPE,Bias,MASE
Rapeseed/Mustard,GradBoost,416.667,447.679,8.379,-416.667,1.0
Rapeseed/Mustard,Holt,136.111,160.331,2.705,-136.111,0.327
Rapeseed/Mustard,Linear,136.111,160.331,2.705,-136.111,0.327
Rapeseed/Mustard,Naive,416.667,447.679,8.379,-416.667,1.0
Rapeseed/Mustard,RandomForest,501.0,526.948,10.093,-501.0,1.202
Rapeseed/Mustard,RidgePoly2,66.17,77.517,1.338,-15.059,0.159
Safflower,"ARIMA(1,1,0)",56.785,58.781,1.052,33.196,0.377
Safflower,CAGR,865.569,930.2,15.998,865.569,5.745
Safflower,Drift,543.167,598.837,10.041,543.167,3.605
Safflower,Ensemble,656.556,697.527,12.138,656.556,4.358
Safflower,GradBoost,150.667,159.808,2.784,-150.667,1.0
Safflower,Holt,656.555,697.527,12.138,656.555,4.358
Safflower,Linear,656.556,697.527,12.138,656.556,4.358
Safflower,Naive,150.667,159.808,2.784,-150.667,1.0
Safflower,RandomForest,249.391,258.532,4.613,-249.391,1.655
Safflower,RidgePoly2,708.183,797.06,13.088,708.183,4.7
Sesamum,"ARIMA(1,1,0)",348.43,391.578,4.838,-348.43,0.636
Sesamum,CAGR,515.651,558.911,7.199,515.651,0.941
Sesamum,Drift,217.278,248.781,3.04,217.278,0.396
Sesamum,Ensemble,321.223,350.434,4.499,321.223,0.586
Sesamum,GradBoost,548.0,582.205,7.611,-548.0,1.0
Sesamum,Holt,321.223,350.435,4.499,321.223,0.586
Sesamum,Linear,321.222,350.434,4.499,321.222,0.586
Sesamum,Naive,548.0,582.205,7.611,-548.0,1.0
Sesamum,RandomForest,671.951,698.369,9.34,-671.951,1.226
Sesamum,RidgePoly2,370.753,432.857,5.171,370.753,0.677
Soyabean (Yellow),"ARIMA(1,1,0)",199.001,234.884,5.059,199.001,1.244
Soyabean (Yellow),CAGR,377.904,405.84,9.602,377.904,2.362
Soyabean (Yellow),Drift,262.222,285.605,6.663,262.222,1.639
Soyabean (Yellow),Ensemble,284.222,303.879,7.221,284.222,1.776
Soyabean (Yellow),GradBoost,160.0,174.547,4.077,-160.0,1.0
Soyabean (Yellow),Holt,284.222,303.879,7.221,284.222,1.776
Soyabean (Yellow),Linear,284.222,303.879,7.221,284.222,1.776
Soyabean (Yellow),Naive,160.0,174.547,4.077,-160.0,1.0
Soyabean (Yellow),RandomForest,261.896,274.04,6.673,-261.896,1.637
Soyabean (Yellow),RidgePoly2,426.517,481.143,10.836,426.517,2.666
Sunflower Seed,"ARIMA(1,1,0)",73.773,84.831,1.236,-60.992,0.303
Sunflower Seed,CAGR,1321.557,1424.127,22.094,1321.557,5.431
Sunflower Seed,Drift,730.0,798.342,12.202,730.0,3.0
Sunflower Seed,Ensemble,904.0,959.215,15.116,904.0,3.715
Sunflower Seed,GradBoost,243.333,261.63,4.074,-243.333,1.0
Sunflower Seed,Holt,903.999,959.215,15.116,903.999,3.715
Sunflower Seed,Linear,904.0,959.215,15.116,904.0,3.715
Sunflower Seed,Naive,243.333,261.63,4.074,-243.333,1.0
Sunflower Seed,RandomForest,366.491,380.825,6.138,-366.491,1.506
Sunflower Seed,RidgePoly2,909.756,1014.89,15.206,909.756,3.739
Toria,"ARIMA(1,1,0)",119.511,145.326,2.368,-117.79,0.287
Toria,CAGR,62.927,71.952,1.29,-11.639,0.151
Toria,Drift,95.833,106.311,1.919,-70.833,0.23
Toria,Ensemble,91.667,98.885,1.842,-60.555,0.22
Toria,GradBoost,416.667,447.679,8.379,-416.667,1.0
Toria,Holt,91.667,98.885,1.842,-60.555,0.22
Toria,Linear,91.667,98.885,1.842,-60.556,0.22
Toria,Naive,416.667,447.679,8.379,-416.667,1.0
