Series,Model,Season_Label,Year,Forecast
Jowar (Maldandi),GradBoost,2022-23,2022,2758.0
Jowar (Maldandi),GradBoost,2023-24,2023,2758.0
Jowar (Maldandi),GradBoost,2024-25,2024,2758.0
Jowar (Maldandi),Ensemble,2022-23,2022,3105.4
Jowar (Maldandi),Ensemble,2023-24,2023,3331.0
Jowar (Maldandi),Ensemble,2024-25,2024,3556.6
Jute,Naive,2022-23,2022,4500.0
Jute,Naive,2023-24,2023,4500.0
Jute,Naive,2024-25,2024,4500.0
Jute,Drift,2022-23,2022,4750.0
Jute,Drift,2023-24,2023,5000.0
Jute,Drift,2024-25,2024,5250.0
Jute,Linear,2022-23,2022,4732.5
Jute,Linear,2023-24,2023,4985.0
Jute,Linear,2024-25,2024,5237.5
Jute,RidgePoly2,2022-23,2022,4827.9
Jute,RidgePoly2,2023-24,2023,5227.1
Jute,RidgePoly2,2024-25,2024,5675.5
Jute,CAGR,2022-23,2022,4790.2
Jute,CAGR,2023-24,2023,5104.4
Jute,CAGR,2024-25,2024,5439.2
Jute,Holt,2022-23,2022,4775.0
Jute,Holt,2023-24,2023,5050.0
Jute,Holt,2024-25,2024,5325.0
Jute,"ARIMA(1,1,0)",2022-23,2022,4771.6
Jute,"ARIMA(1,1,0)",2023-24,2023,5039.8
Jute,"ARIMA(1,1,0)",2024-25,2024,5304.6
Jute,RandomForest,2022-23,2022,4391.1
Jute,RandomForest,2023-24,2023,4391.1
Jute,RandomForest,2024-25,2024,4391.1
Jute,GradBoost,2022-23,2022,4500.0
Jute,GradBoost,2023-24,2023,4500.0
Jute,GradBoost,2024-25,2024,4500.0
Jute,Ensemble,2022-23,2022,4762.5
Jute,Ensemble,2023-24,2023,5025.0
Jute,Ensemble,2024-25,2024,5287.5
Maize,Naive,2022-23,2022,1870.0
Maize,Naive,2023-24,2023,1870.0
Maize,Naive,2024-25,2024,1870.0
Maize,Drift,2022-23,2022,1981.2
Maize,Drift,2023-24,2023,2092.5
Maize,Drift,2024-25,2024,2203.8
Maize,Linear,2022-23,2022,2033.0
Maize,Linear,2023-24,2023,2137.0
Maize,Linear,2024-25,2024,2241.0
Maize,RidgePoly2,2022-23,2022,2006.4
Maize,RidgePoly2,2023-24,2023,2114.8
Maize,RidgePoly2,2024-25,2024,2228.8
Maize,CAGR,2022-23,2022,2068.2
Maize,CAGR,2023-24,2023,2202.3
Maize,CAGR,2024-25,2024,2345.0
Maize,Holt,2022-23,2022,2033.0
Maize,Holt,2023-24,2023,2137.0
Maize,Holt,2024-25,2024,2241.0
Maize,"ARIMA(1,1,0)",2022-23,2022,1883.9
Maize,"ARIMA(1,1,0)",2023-24,2023,1893.5
Maize,"ARIMA(1,1,0)",2024-25,2024,1900.1
Maize,RandomForest,2022-23,2022,1856.7
Maize,RandomForest,2023-24,2023,1856.7
Maize,RandomForest,2024-25,2024,1856.7
Maize,GradBoost,2022-23,2022,1870.0
Maize,GradBoost,2023-24,2023,1870.0
Maize,GradBoost,2024-25,2024,1870.0
Maize,Ensemble,2022-23,2022,2033.0
Maize,Ensemble,2023-24,2023,2137.0
Maize,Ensemble,2024-25,2024,2241.0
Masur (Lentil),Naive,2022-23,2022,5500.0
Masur (Lentil),Naive,2023-24,2023,5500.0
Masur (Lentil),Naive,2024-25,2024,5500.0
Masur (Lentil),Drift,2022-23,2022,5812.5
Masur (Lentil),Drift,2023-24,2023,6125.0
Masur (Lentil),Drift,2024-25,2024,6437.5
Masur (Lentil),Linear,2022-23,2022,5762.5
Masur (Lentil),Linear,2023-24,2023,6075.0
Masur (Lentil),Linear,2024-25,2024,6387.5
Masur (Lentil),RidgePoly2,2022-23,2022,5893.5
Masur (Lentil),RidgePoly2,2023-24,2023,6398.5
Masur (Lentil),RidgePoly2,2024-25,2024,6967.4
Masur (Lentil),CAGR,2022-23,2022,5833.0
Masur (Lentil),CAGR,2023-24,2023,6222.4
Masur (Lentil),CAGR,2024-25,2024,6637.9
Masur (Lentil),Holt,2022-23,2022,5864.6
Masur (Lentil),Holt,2023-24,2023,6242.2
Masur (Lentil),Holt,2024-25,2024,6619.8
Masur (Lentil),"ARIMA(1,1,0)",2022-23,2022,5878.0
Masur (Lentil),"ARIMA(1,1,0)",2023-24,2023,6235.3
Masur (Lentil),"ARIMA(1,1,0)",2024-25,2024,6572.9
Masur (Lentil),RandomForest,2022-23,2022,5349.2
Masur (Lentil),RandomForest,2023-24,2023,5349.2
